职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
C++ QT 软件工程师,12-20K·15薪,"['3-5年', '本科']",['C/C++'],3-5年,本科,深圳,Intelli4D,20-99人,"['年终奖', '补充医疗保险', '全勤奖', '员工旅游', '五险一金']"
软件开发(C  C++  Python),15-30K,"['1-3年', '硕士']","['C++', 'C语言', 'Python', '软件工程师', '全栈开发', '无线通信']",1-3年,硕士,西安,华为,10000人以上,"['团建聚餐', '带薪年假', '五险一金', '交通补助', '年终奖', '定期体检', '节日福利', '法定节假日三薪', '加班补助', '夜班补助', '股票期权', '补充医疗保险', '意外险', '企业年金', '免费班车', '员工旅游', '绩效奖金', '保底工资', '节假日加班费', '零食下午茶']"
C++  QT软件工程师,11-22K,"['3-5年', '本科']","['C/C++', 'Linux', 'QT界面编程']",3-5年,本科,深圳,微尔纳高科,20-99人,[]
C++  qt linux,10-15K·13薪,"['3-5年', '本科']","['C++', 'QT', 'Linux', '服务器端开发', 'MongoDB', 'Windows', 'SQL Server', '数据结构']",3-5年,本科,天津,深之蓝,100-499人,"['五险一金', '通讯补贴', '法定节假日三薪', '意外险', '夜班补助', '免费工装', '包住', '节日福利', '定期体检', '股票期权', '高温补贴', '年终奖', '团建聚餐', '绩效奖金', '带薪年假']"
C++ python 开发工程师,15-18K,"['1-3年', '本科']","['QT', 'Python', '算法基础', '图形图像处理', '高级软件工程师', 'Windows']",1-3年,本科,武汉,武汉瑞新昌,20-99人,['五险一金']
C++ Halcon OpenCV 机器视觉 软件工程师,7-12K,"['经验不限', '本科']","['C++', 'QT', '机器视觉', 'OpenCV', 'Halcon', '图形开发经验']",经验不限,本科,上海,世智智能,0-20人,[]
C++ QT 工程师  兼职开发,1500-2000元/月,"['3-5年', '本科']","['远程兼职开发', 'C++', 'QT']",3-5年,本科,深圳,精诚捷创,20-99人,[]
Senior C++ Developer - 上海/杭州/深圳,35-45K,"['5-10年', '本科']","['C++', '区块链']",5-10年,本科,上海,立魁科技,100-499人,"['法定节假日三薪', '补充医疗保险', '员工旅游', '团建聚餐', '零食下午茶', '五险一金', '生日福利', '节日福利', '工龄奖', '餐补', '定期体检', '带薪年假', '年终奖']"
软件开发 QT C++,5-8K,"['1-3年', '本科']","['C++', 'QT', 'MySQL', 'OpenGL', '图形开发经验', 'Python']",1-3年,本科,呼和浩特,子殷,20-99人,"['免费班车', '定期体检', '餐补', '全勤奖', '五险一金', '包住', '包住', '带薪年假']"
服务端开发（java C++ go python),45-75K·18薪,"['经验不限', '本科']","['C++', 'Java', 'Python', 'Golang']",经验不限,本科,杭州,上海从鲸信息技术,500-999人,[]
C/C++,8-12K,"['3-5年', '大专']","['C++服务端开发经验', 'C++', 'QT', '计算机相关专业', 'Linux开发/部署经验']",3-5年,大专,十堰,小灯共创,20-99人,[]
C/C++,20-35K,"['3-5年', '本科']","['Java', '编译器开发经验', 'C++', '数据库开发经验', '桌面开发经验', 'Lua', '架构设计经验', '游戏后端经验', 'Python']",3-5年,本科,成都,互帮未来,20-99人,"['全勤奖', '加班补助', '股票期权', '年终奖', '五险一金']"
C/C++,10-15K,"['1-3年', '本科']","['C++', 'QT']",1-3年,本科,北京,中科鹦鹉螺,20-99人,"['年终奖', '五险一金']"
c/c++,8-12K,"['经验不限', '本科']","['C++', 'QT']",经验不限,本科,南京,江苏道达智能科技,100-499人,[]
C/C++,30-60K,"['3-5年', '本科']","['C++', 'OpenGL']",3-5年,本科,上海,泊松软件,100-499人,"['定期体检', '年终奖', '带薪年假', '员工旅游', '通讯补贴', '五险一金', '节日福利', '股票期权', '节假日加班费', '零食下午茶']"
美团客服专员（轻松不外出）,10-11K,"['经验不限', '高中', '不接受居家办公', '电话客服', '办公室坐班']","['不接受居家办公', '电话客服', '办公室坐班', '不含销售的客服工作', '企业内部客服', '正常工作制']",经验不限,高中,重庆,群庆江北分公司,100-499人,[]
金融信贷专员（双休+五险）,6-11K,"['经验不限', '学历不限', '含销售性质', '贷款顾问', '互联网']","['含销售性质', '贷款顾问', '互联网', '大额贷款审核经验', '电销经验', '全职']",经验不限,学历不限,重庆,俊林企服,20-99人,[]
奥数老师,3-7K,"['1-3年', '本科']",[],1-3年,本科,重庆,重庆蒙特课外培训...,20-99人,[]
财务税务兼职不坐班,800-1000元/周,"['3-5年', '大专', '税务筹划代理公司', '税务筹划']","['税务筹划代理公司', '税务筹划']",3-5年,大专,重庆,铭恒北京企业管理,20-99人,[]
中医理疗师,3-7K,"['1-3年', '学历不限', '需要理疗相关经验', '拔罐', '经络调理']","['需要理疗相关经验', '拔罐', '经络调理', '刮痧', '无需足疗足浴', '5年以上理疗经验', '3-5年理疗经验', '康复理疗机构', '艾灸', '推拿', '1-3年理疗经验']",1-3年,学历不限,重庆,北碚区牛小推保健...,0-20人,[]
仅招一人 周末双休 美团急招生鲜BD,8-13K,"['1-3年', '大专', '用户拉新', 'O2O/生活服务']","['用户拉新', 'O2O/生活服务']",1-3年,大专,重庆,美团,10000人以上,[]
得物~得物~后台案件处理专员,8-13K·13薪,"['经验不限', '中专/中技', '不接受居家办公', '电话客服', '办公室坐班']","['不接受居家办公', '电话客服', '办公室坐班', '售后客服', '不含销售的客服工作', '企业内部客服', '正常工作制']",经验不限,中专/中技,重庆,信盟科技,1000-9999人,[]
教务管理,6-10K,"['1-3年', '大专', '教育工作经验', '培训机构', '线下教育']","['教育工作经验', '培训机构', '线下教育', '小学教育', '学前教育', '排课系统经验', '教育学相关专业', '教育咨询师', '班主任', '中学生', '少儿艺术', '学前儿童/小学生', '素质教育', '学科培训']",1-3年,大专,重庆,蕴华教育,100-499人,[]
成本会计(制造业),6-7K,"['3-5年', '大专', '成本', 'CPA', '高级会计师']","['成本', 'CPA', '高级会计师', '制造业', '中级会计师', '初级会计师']",3-5年,大专,重庆,重庆天迈广告有限...,20-99人,[]
资深美甲美睫师,5-12K,"['经验不限', '学历不限', '美甲美睫店长', '美睫师', '延长美甲']","['美甲美睫店长', '美睫师', '延长美甲', '有美睫师经验', '美甲师', '接受无美甲美睫店长经验', '有美甲师经验', '自助美甲店', '1-3年美睫师经验', '彩绘美甲', '晕染美甲', '单根美睫', '连锁店', '1-3年美甲师经验']",经验不限,学历不限,重庆,沙坪坝区倦容美甲...,0-20人,[]
重庆云起畅行汽车服务招聘客运司机,5-10K,"['3-5年', '初中及以下', '3-5年驾龄', '工地', '驾驶证C1']","['3-5年驾龄', '工地', '驾驶证C1', '木工', '无犯罪、吸毒、酒驾记录', '普工', '餐饮', '小工', '驾驶证C2', '无一次性扣12分违章']",3-5年,初中及以下,重庆,重庆云起畅行汽车服务,100-499人,[]
模型标注-自动驾驶,3-4K,"['经验不限', '大专', '数据标注', '图片标注', '文本标注']","['数据标注', '图片标注', '文本标注', '视频标注', '语音标注', '不接受居家办公']",经验不限,大专,重庆,景烁科技,1000-9999人,[]
团播运镜师【抖音百万团】,6-7K,"['1-3年', '学历不限', '摄影', '外景拍摄', '实景拍摄']","['摄影', '外景拍摄', '实景拍摄', '棚拍']",1-3年,学历不限,重庆,重庆新程闪耀文化传媒,100-499人,[]
互动咨询专员,8-13K,"['经验不限', '大专', '网络客服', '医疗/大健康', '网络咨询']","['网络客服', '医疗/大健康', '网络咨询', '网络营销经验', '医疗咨询']",经验不限,大专,重庆,重庆南坪爱尔眼科医院,100-499人,[]
底薪6000+100%精准客户+双休+朝九晚六,20-30K,"['经验不限', '初中及以下', '含销售性质', '贷款顾问', '贷款审核']","['含销售性质', '贷款顾问', '贷款审核', '银行工作经验', '全职', '电销经验']",经验不限,初中及以下,重庆,聚鸿财商务,100-499人,[]
